Set list,Set list 2,IMAGE NAME,SUBCATEGORY,NOTES,LOCATION IF AVAILABLE,MACRO,IMAGE ADDRESS,COPYRIGHT STATUS,IMAGE SIZE,Width,Height,DATE ADDED,DATE TAKEN,EXIF INFO AVAILABLE,FLICKR USERNAME,FLICKR URL,SEARCH PROTOCOL FOLLOWED 
4,6,desert_026,desert,"rock formations, bushes","Valley of Fire, Nevada",Landscape,https://live.staticflickr.com/65535/51416917289_cfd9691f38_o.jpg,CC0,4712 x 2560,4712,2560,23/04/2023,16/10/2017,Yes,Bernard Spragg,https://www.flickr.com/photos/volvob12b/51416917289/in/photolist-2mkx9aX-214DGK7-YpGNrz-Zhm7FV-CKmQyW-FVcb5B-YhKPLx-21sAzaa-YbUnRD-ZKnd6Q-YV1EuR-X66REe-24wPFHM-24sQtNh-24wPBQM-ESCdxM-XCMgda-Xc8wRF-2iFFjn1-YtHyei-Zu4iSE-2iJ2yNi-2kZSLB1-VUJemK-W1ksUc-W3JoMA-VdmJtG-WeoPML-Wcp823-V8cHrx-VLvBCC-PbWCbp-Pn2tNr-Z4cjTb-UjCk8X-UY2RUD-UjCtyz-2dn1hLp-VmBYrK-UJcB2o-UXMmjB-VcQ41e-UtD2fq-23tUsPh-234L8AC-ZgbYB6-ZwqhQd-21wDH53-21BzJ3P-YJF6km,Yes
4,8,desert_028,desert,"sand dunes, some greenery ","Death Valley, Nevada",Landscape,https://live.staticflickr.com/5649/20703494271_be86b51aea_o.jpg,CC0,6000 x 3681,6000,3681,23/04/2023,17/08/2015,Yes,Marc Cooper,https://www.flickr.com/photos/marc_cooper/20703494271/in/photolist-xxuPxM-wyW73v-wyWKFL-vuF92g-vnY8uc-uDFLKM-ut7oHa-ugjqKJ-tW3mn7-ua49e2-tyHMA7-tR3QPa-FZmBDV-27eoBDT-GULsD6-EnNoS1-FZgoLw-FZgogU-HEh8gC-qGWprU-rnuagc-JHcdof-JPiEW1-JKqJN4-KNCY6H-JrwiZm-JPj1Kj-JSncDD-JPj2fh-RmipnU-raKJKb-MpyidG-q2LEC8-qWgg6G-HMwhes-Qmbngw-C2kDs1-C3rVv2-HxaozX-xJ6DUr-xJ61uM-NubxuQ-E8gFnd-JrwqHS-Jrwsm1-HVYpZZ-HVYrwX-HVYtu4-JKqLEF-NydF8g,Yes
2,7,desert_029,desert,"sand dunes, mountains in back","Great Sand Dunes National Park, Colorado",Landscape,https://live.staticflickr.com/5156/5835111123_256d7f15a2_o.jpg,CC0,1800 x 1200,1800,1200,23/04/2023,05/06/2011,No,Patrick Alexander,https://www.flickr.com/photos/aspidoscelis/5835111123/in/photolist-jodJQz-9Z5iZY-9Z2ngK-9Z4HC7-iMq8j8-9TFiWh-9TCtjp-9TCtfc-9UaJmy-E5p119-9hVhRG-BtWTvK-FQCVam-pLTcoB-gKefbV-MBkEfJ-KvpUV1-Lex7vi-K8ckd1-KvpVBG-KvpVUA-K8cmjQ-KoSpLy-K8cn21-KoSqcy-KoSqMS-Kyizy8-KoSrzd-KyizXK-JBKNZ3-KvpSZs-KvpTKW-KyiuCg-Kyiv1R-KhGLjW-KhGPY9-Lex5sa-KhGNhy-KhYqe2-8Uo5yg-deyDih-Jrwzkm-JrwAbQ-JrwBcY-JSn5h4-26UPcMN-28zmveh-28hHUSF-26UPcdb-9Z2tQ2,Yes
2,7,desert_030,desert,"trackmarks, rock formations in back","Wadi Rum, Jordan",Landscape,https://live.staticflickr.com/65535/52752954072_1030e72719_o.jpg,CC0,6000 x 4000,6000,4000,23/04/2023,19/11/2022,Yes,Jan Halebrant,https://www.flickr.com/photos/96541566@N06/52752954072/in/photolist-2onAFmU-2onDqwr-2onFw5q-2onFwuo-2onFWy3-2onymLx-2onASz5-2onDC9V-2onEFMN-2onEFQt-2onEFSs-2onFHGZ-2onFWdU-2onFWii-2onG8Sf-2onG8Uz-2onG947-2onvor5-2onj7e7-2onjTwb-2onjTCD-2onma37-2onmasf-2onmoYz-2onmPsT-2onnr7y-2onnrrG-2onspUC-2onwoPA-2onwoXg-2onwC5J-2onxgrd-2onxgxq-2onfpTQ-2onjoCT-2on6TgZ-2on9zX8-2ona5a5-2ona5ed-2onaR2C-2onbBmj-2onbGiK-2oncbWm-2omTGW9-2omUBf2-2omXgKU-2omYuR5-2omYzEH-2omYzRp-2omYUHr,Yes
5,10,desert_034,desert,colourful sand hills,"Painted Hills, Oregon",Landscape,https://live.staticflickr.com/647/33004658870_86f74e1ab2_o.jpg,CC0,5184 x 3456,5184,3456,14/05/2023,10/03/2017,No,Bonnie Moreland,"Painted Hills, Oregon | The colors of this area will change … | Flickr",Yes
2,6,desert_036,desert,"red sand, some rock formations ","Navajo, Arizona",Landscape,https://live.staticflickr.com/3330/3286519829_a7a5e538fc_o.jpg,CC0,2600 x 1733,2600,1733,14/05/2023,24/09/2008,Yes,Romain Guy,Monument Valley Overlook | Romain Guy | Flickr,Yes
1,7,desert_039,desert,red sand dunes/mountains,"Painted Desert, Arizona ",Landscape,https://live.staticflickr.com/5451/17713724095_2021823272_o.jpg,CC0,6000x4000 ,6000,4000,14/05/2023,15/05/2015,Yes,Marc Cooper,Painted Desert AZ | Marc Cooper | Flickr,Yes
5,9,desert_040,desert,cracked dry desert ,"Alvord Desert, Oregon",Landscape,https://live.staticflickr.com/2942/34059075586_7e56564670_o.jpg,CC0,3900 x 2230,3900,2230,14/05/2023,25/04/2017,No,Bonnie Moreland,"Alvord Desert, Oregon | The Alvord Desert is a desert locate… | Flickr",Yes
1,7,desert_041,desert,"rocky desert floor, bushes, water",Grand Canyon,Landscape,https://live.staticflickr.com/7043/27140615705_1a5a0291c5_o.jpg,CC0,2048 x 1152,2048,1152,14/05/2023,13/02/2016,Yes,Marne Lierman,Northern Grand Canyon | Marné Lierman | Flickr,Yes
5,6,desert_042,desert,"red desert, plants, mountains to side ","Kane, Utah",Landscape,https://live.staticflickr.com/2639/4047809591_143c39dc1a_o.jpg,CC0,4672 x 3104,4672,3104,14/05/2023,22/10/2009,Yes,Deborah Lee Soltesz,Paria River | Upper Paria River Backpack - Day 5: Backpack f… | Flickr,Yes
5,9,desert_043,desert,desert trail,"Yavapai, Arizona",Landscape,https://live.staticflickr.com/4568/38152956565_3d905c84db_o.jpg,CC0,7360 x 4912,7360,4912,14/05/2023,25/03/2017,Yes,Coconio NF Photography,Bell Trail | Bell Trail is very popular with hikers and angl… | Flickr,Yes
1,10,desert_044,desert,"rocky terrain, some greenery","Mohave, Arizone",Landscape,https://live.staticflickr.com/5245/5380279858_baaea025c9_o.jpg,CC0,4672 x 3104,4672,3104,14/05/2023,16/01/2011,Yes,Deborah Lee Soltesz,Cathedral Rock | We camped near and hiked around Cathedral R… | Flickr,Yes
4,7,desert_045,desert,red rocks,Not Given,Landscape,https://live.staticflickr.com/7626/26856501143_40eba90ce3_o.jpg,CC0,2730 x 1820,2730,1820,14/05/2023,31/07/2007,Yes,Lisa Ann Yount,red rocks 1 | Lisa Ann Yount | Flickr,Yes
3,6,desert_048,desert,"red rocks, some greenery ","Yavapai, Arizona",Landscape,https://live.staticflickr.com/4636/25485054118_e04e871907_o.jpg,CC0,6683 x 4460,6683,4460,14/05/2023,12/10/2017,Yes,Coconio NF Photography,Turkey Creek Trail | This seldom used trail offers vistas an… | Flickr,Yes
3,10,desert_049,desert,desert sands,Not Given,Landscape,https://live.staticflickr.com/65535/49760294691_03a34a0696_o.jpg,CC0,6000 x 4000 ,6000,4000,14/05/2023,01/11/2019,Yes,Mussi Katz,IMG_3174 | Mussi Katz | Flickr,Yes
2,9,desert_050,desert,"desert, some cacti",Not Given,Landscape,https://live.staticflickr.com/197/501404203_b2bcb67b73_o.jpg,CC0,2560 x 1920,2560,1920,14/05/2023,28/04/2005,Yes,Nicolas Vigier,p4280031 | Nicolas Vigier | Flickr,Yes
3,6,fields_002,fields,yellow plant field,Russia,Landscape,https://live.staticflickr.com/3840/33390053540_b376d80422_o.jpg,CC0,4276 x 2405,4276,2405,10/05/2023,23/07/2014,No,Artur Potosi,*** | Artur Potosi | Flickr,Yes
3,7,fields_003,fields,"field, path, trees",Aspen Groves,Landscape,https://live.staticflickr.com/4468/37684024052_ed5e59b201_o.jpg,CC0,9980 x 4116,9980,4116,10/05/2023,13/10/2017,Yes,aka CJ,Aspen groves in Öhed | aka CJ | Flickr,Yes
2,10,fields_005,fields,fields in mountain valley,"Cumbria, UK",Landscape,https://live.staticflickr.com/8133/30306313475_8be664e90e_o.jpg,CC0,4896 x 2754,4896,2754,10/05/2023,06/10/2016,Yes,Terry Kearney,The Valley | Great Langdale is a U-shaped valley formed by g… | Flickr,Yes
5,8,fields_007,fields,"different coloured fields, some trees",Not given,Landscape,https://live.staticflickr.com/4706/26058688468_7f34ddcf60_o.jpg,CC0,5832 x 3280,5832,3280,10/05/2023,19/07/2014,Yes,Pavel Kovalev,Beautiful landscape | Pavel Kovalev | Flickr,Yes
4,9,fields_009,fields,field and forest,Not given,Landscape,https://live.staticflickr.com/7667/28476759140_542ec83ba3_o.jpg,CC0,3008 x 2000,3008,2000,10/05/2023,12/07/2016,No,Jonathan Petersson,102 (3008x2000) | Jonathan Petersson | Flickr,Yes
1,8,fields_011,fields,field with trees,Pennsylvania,Landscape,https://live.staticflickr.com/5694/21926610576_1003d5db39_o.jpg,CC0,4874 x 2961,4874,2961,10/05/2023,04/10/2015,Yes,Nicholas A. Tonelli,"Early Autumn (2) | Meadow of goldenrod, grass, and eastern r… | Flickr",Yes
2,6,fields_014,fields,flower field,Oregon,Landscape,https://live.staticflickr.com/65535/32431137206_db499d5baf_o.jpg,CC0,4332 x 2651,4332,2651,10/05/2023,30/04/2016,No,Bonnie Moreland,"Field of Red Clover in bloom, Oregon | Springtime blooms | Bonnie Moreland | Flickr",Yes
